IP	amount	as	city	country	countryCode	isp	lat	lon	org	query	region	regionName	status	timezone	zip
182.186.165.19	569	AS45595 Pakistan Telecom Company Limited	Faisalabad	Pakistan	PK	Pakistan Telecommuication company limited (PK)	31.4215	73.0843	PTCL	182.186.165.19	PB	Punjab	success	Asia/Karachi	38000
80.82.78.6	559	AS29073 Quasi Networks LTD.	Amsterdam	Netherlands	NL	Novogara LTD (NL)	52.3702	4.895169999999999	Novogara LTD	80.82.78.6	NH	North Holland	success	Europe/Amsterdam	
64.95.100.90	548	AS29791 Voxel Dot Net, Inc.	Atlanta	United States	US	Internap Network Services Corporation (US)	33.9255	-84.338	Voxel Dot Net	64.95.100.90	GA	Georgia	success	America/New_York	30346
5.36.72.134	544	AS28885 General Telecommunication Organization	Muscat	Oman	OM	OmanMobile Telecommunication company LLC (OM)	23.61	58.54	OmanTel Telecommunication company LLC	5.36.72.134	MA	Muhafazat Masqat	success	Asia/Muscat	
64.95.100.94	542	AS29791 Voxel Dot Net, Inc.	Atlanta	United States	US	Internap Network Services Corporation (US)	33.9255	-84.338	Voxel Dot Net	64.95.100.94	GA	Georgia	success	America/New_York	30346
208.100.26.231	526	AS32748 Steadfast	Chicago	United States	US	Steadfast (US)	41.8745	-87.6503	Steadfast	208.100.26.231	IL	Illinois	success	America/Chicago	60607
208.100.26.230	509	AS32748 Steadfast	Chicago	United States	US	Steadfast (US)	41.8745	-87.6503	Steadfast	208.100.26.230	IL	Illinois	success	America/Chicago	60607
208.100.26.232	493	AS32748 Steadfast	Chicago	United States	US	Steadfast (US)	41.8745	-87.6503	Steadfast	208.100.26.232	IL	Illinois	success	America/Chicago	60607
125.72.192.199	472	AS4134 Chinanet	Xining	China	CN	China Telecom Qinghai (CN)	36.6167	101.7667	China Telecom Qinghai	125.72.192.199	63	Qinghai	success	Asia/Shanghai	
208.100.26.229	416	AS32748 Steadfast	Chicago	United States	US	Steadfast (US)	41.8745	-87.6503	Steadfast	208.100.26.229	IL	Illinois	success	America/Chicago	60607
62.23.168.212	404	AS8220 COLT Technology Services Group Limited	Paris	France	FR	COLT Technology Services Group Limited (FR)	48.8628	2.3292	COLT Technology Services Group Limited	62.23.168.212	IDF	Île-de-France	success	Europe/Paris	75001
70.33.31.101	391	AS40933 Triangle Communications	Malta	United States	US	Vision Net (US)	48.1647	-107.8707	Triangle Communications	70.33.31.101	MT	Montana	success	America/Denver	59538
187.242.153.198	385	AS13999 Mega Cable, S.A. de C.V.	Tuxtla Gutiérrez	Mexico	MX	Mega Cable, S.A. de C.V. (MX)	16.75	-93.1167	Mega Cable, S.A. de C.V.	187.242.153.198	CHP	Chiapas	success	America/Mexico_City	29060
188.237.66.224	383	AS8926 Moldtelecom SA	Suruceni	Republic of Moldova	MD	JSC Moldtelecom S.A. (MD)	46.9825	28.6686	JSC Moldtelecom S.A.	188.237.66.224	IA	Ialoveni	success	Europe/Chisinau	
178.218.228.200	381	AS50994 e-SBL.net Sp. z o.o.	Ledziny	Poland	PL	e-SBL.net Sp. z o.o. (PL)	50.1333	19.1167	e-SBL.net Sp. z o.o.	178.218.228.200	SL	Silesia	success	Europe/Warsaw	43-140
109.103.1.212	380	AS9050 Telekom Romania Communication S.A	Constanța	Romania	RO	Telekom Romania Communication S.A (RO)	44.1833	28.65	Telekom Romania Communication S.A	109.103.1.212	CT	Constanta	success	Europe/Bucharest	
177.102.186.207	379	AS27699 TELEFÔNICA BRASIL S.A	Embu Guacu	Brazil	BR	Vivo (BR)	-23.8317	-46.8112	Vivo	177.102.186.207	SP	Sao Paulo	success	America/Sao_Paulo	
68.234.156.43	379	AS23473 PAVLOV MEDIA INC	San Diego	United States	US	Pavlov Media (US)	32.7555	-117.0701	Pavlov Media	68.234.156.43	CA	California	success	America/Los_Angeles	92115
189.242.214.137	379	AS8151 Uninet S.A. de C.V.	Ixtapaluca	Mexico	MX	Telmex (MX)	19.3131	-98.8651	Telmex	189.242.214.137	MEX	Estado de Mexico	success	America/Mexico_City	56530
106.186.113.132	365	AS2516 KDDI CORPORATION	Chiyoda-ku	Japan	JP	Linode (JP)	35.694	139.754	Linode	106.186.113.132	13	Tōkyō	success	Asia/Tokyo	
78.23.35.229	344	AS6848 Telenet BVBA	Lochristi	Belgium	BE	Telenet BVBA (BE)	51.1	3.8333	Telenet N.V.	78.23.35.229	VLG	Flanders	success	Europe/Brussels	9080
76.66.170.8	332	AS577 Bell Canada	Hamilton	Canada	CA	Bell Canada (CA)	43.2266	-79.8499	Bell Canada	76.66.170.8	ON	Ontario	success	America/Toronto	L8V
14.163.82.245	329	AS45899 VNPT Corp	Hanoi	Vietnam	VN	VDC (VN)	21.0333	105.85	Vietnam Posts and Telecommunications(VNPT)	14.163.82.245	HN	Thanh Pho Ha Noi	success	Asia/Ho_Chi_Minh	
178.136.214.254	316	AS6703 Private Joint-stock Company farlep-invest	Odesa	Ukraine	UA	Private Joint-stock Company farlep-invest (UA)	46.4639	30.7386	Private Joint-stock Company farlep-invest	178.136.214.254	51	Odessa	success	Europe/Kiev	
189.242.142.45	311	AS8151 Uninet S.A. de C.V.	Ixtapaluca	Mexico	MX	Telmex (MX)	19.3131	-98.8651	Telmex	189.242.142.45	MEX	Estado de Mexico	success	America/Mexico_City	56530
88.243.101.252	301	AS9121 Turk Telekom	Izmir	Turkey	TR	Turk Telekom (TR)	38.4067	27.14	Turk Telekom	88.243.101.252	35	Izmir	success	Europe/Istanbul	35250
92.114.220.252	296	AS8926 Moldtelecom SA	Chisinau	Republic of Moldova	MD	Moldtelecom SA (MD)	47.0056	28.8575	JSC Moldtelecom S.A.	92.114.220.252	CU	Chișinău Municipality	success	Europe/Chisinau	
119.235.92.139	292	AS4638 Telecom Fiji Limited	Suva	Fiji	FJ	Connect Internet Services Limited (FJ)	-18.1333	178.4167	Telecom Fiji Limited	119.235.92.139	C	Central	success	Pacific/Fiji	
200.85.164.226	283	AS25607 IBW Communications	Managua	Nicaragua	NI	IBW Communications (NI)	12.1508	-86.2683	IBW Communications	200.85.164.226	MN	Departamento de Managua	success	America/Managua	
96.81.139.130	276	AS7922 Comcast Cable Communications, LLC	Bellevue	United States	US	Comcast Business (US)	47.6104	-122.2007	Comcast Business	96.81.139.130	WA	Washington	success	America/Los_Angeles	98015
221.202.178.152	273	AS4837 CNCGROUP China169 Backbone	Shenyang	China	CN	China Unicom Liaoning (CN)	41.7922	123.4328	China Unicom Liaoning	221.202.178.152	21	Liaoning	success	Asia/Shanghai	
223.252.223.19	265	AS45062 Guangzhou NetEase Computer System Co., Ltd.	Guangzhou	China	CN	CNISP-Union Technology (Beijing) Co. (CN)	23.1167	113.25	Guangzhou NetEase Computer System Co.,Ltd	223.252.223.19	44	Guangdong	success	Asia/Shanghai	
189.224.175.124	265	AS8151 Uninet S.A. de C.V.	Apodaca	Mexico	MX	Telmex (MX)	25.7667	-100.2	Telmex	189.224.175.124	NLE	Nuevo León	success	America/Monterrey	66603
188.214.2.18	261	AS198721 Progetto8 Srl	Rivergaro	Italy	IT	Progetto8 Srl (IT)	44.9303	9.6131	Progetto8 Srl	188.214.2.18	45	Emilia-Romagna	success	Europe/Rome	29029
181.31.79.65	259	AS10318 CABLEVISION S.A.	Córdoba	Argentina	AR	Cablevision S.A. (AR)	-31.425	-64.175	Cablevision S.A.	181.31.79.65	X	Cordoba	success	America/Argentina/Cordoba	5000
64.95.100.89	258	AS29791 Voxel Dot Net, Inc.	Atlanta	United States	US	Internap Network Services Corporation (US)	33.9255	-84.338	Voxel Dot Net	64.95.100.89	GA	Georgia	success	America/New_York	30346
5.36.39.22	255	AS28885 General Telecommunication Organization	Muscat	Oman	OM	OmanMobile Telecommunication company LLC (OM)	23.6133	58.5933	OmanTel Telecommunication company LLC	5.36.39.22	MA	Muscat	success	Asia/Muscat	
115.47.53.12	251	AS4808 China Unicom Beijing Province Network	Beijing	China	CN	China Unicom Beijing (CN)	39.9289	116.3883	China Unicom Beijing	115.47.53.12	11	Beijing	success	Asia/Shanghai	
191.188.111.114	249	AS28573 CLARO S.A.	São Paulo	Brazil	BR	NET Virtua (BR)	-23.5733	-46.6417	NET Virtua	191.188.111.114	SP	Sao Paulo	success	America/Sao_Paulo	
152.250.14.133	248	AS27699 TELEFÔNICA BRASIL S.A	São Paulo	Brazil	BR	Vivo (BR)	-23.5733	-46.6417	Vivo	152.250.14.133	SP	Sao Paulo	success	America/Sao_Paulo	
117.7.44.9	244	AS7552 Viettel Corporation	Hanoi	Vietnam	VN	Viettel Corporation (VN)	21.0333	105.85	Viettel Corporation	117.7.44.9	HN	Thanh Pho Ha Noi	success	Asia/Ho_Chi_Minh	
149.86.254.14	244	AS174 Cogent Communications	Helsinki	Finland	FI	Netplaza Oy (FI)	60.2257	24.8636	Netplaza Oy	149.86.254.14	18	Uusimaa	success	Europe/Helsinki	00100
119.92.89.46	243	AS9299 Philippine Long Distance Telephone Company	Quezon City	Philippines	PH	Philippine Long Distance Telephone (PH)	14.6488	121.0509	Philippine Long Distance Telephone	119.92.89.46	00	National Capital Region	success	Asia/Manila	0860
116.16.34.200	242	AS4134 Chinanet	Qingyuan	China	CN	China Telecom Guangdong (CN)	23.7	113.0333	China Telecom Guangdong	116.16.34.200	44	Guangdong	success	Asia/Shanghai	
177.126.14.235	242	AS22381 Megatelecom Telecomunicacoes Ltda	Santana de Parnaiba	Brazil	BR	Megatelecom Telecomunicacoes Ltda (BR)	-23.4455	-46.9145	Megatelecom Telecomunicacoes Ltda	177.126.14.235	SP	Sao Paulo	success	America/Sao_Paulo	
37.53.87.209	240	AS6877 PJSC Ukrtelecom	Kiev (Shevchenkivs\'kyi district)	Ukraine	UA	PJSC Ukrtelecom (UA)	50.4443	30.5108	PJSC Ukrtelecom	37.53.87.209		Kyiv City	success	Europe/Kiev	
95.66.137.171	240	AS35645 Limited Liability Company VLADINFO	Vladimir	Russia	RU	Limited Liability Company VLADINFO (RU)	56.1365	40.3966	Limited Liability Company VLADINFO	95.66.137.171	VLA	Vladimirskaya Oblast'	success	Europe/Moscow	
64.95.100.92	240	AS29791 Voxel Dot Net, Inc.	Atlanta	United States	US	Internap Network Services Corporation (US)	33.9255	-84.338	Voxel Dot Net	64.95.100.92	GA	Georgia	success	America/New_York	30346
117.41.233.147	240	AS134238 CHINANET Jiangx province IDC network	Nanchang	China	CN	China Telecom Jiangxi (CN)	28.6744	115.90899999999999	China Telecom Jiangx province IDC network	117.41.233.147	36	Jiangxi Sheng	success	Asia/Shanghai	
187.110.66.29	239	AS28624 CLAUDEMON SILVEIRA - ME	Arapiraca	Brazil	BR	Claudemon Silveira - Me (BR)	-9.75	-36.6597	Claudemon Silveira - Me	187.110.66.29	AL	Alagoas	success	America/Maceio	
202.57.40.242	236	AS9927 A Multihomed ISP Company	Pasay	Philippines	PH	PhilCom (PH)	14.5456	120.9958	PhilCom	202.57.40.242	00	National Capital Region	success	Asia/Manila	1109
201.22.97.119	235	AS18881 TELEFÔNICA BRASIL S.A	Campinas	Brazil	BR	Vivo (BR)	-22.9095	-47.0674	Vivo	201.22.97.119	SP	Sao Paulo	success	America/Sao_Paulo	
123.53.233.132	234	AS4134 Chinanet	Pingdingshan	China	CN	China Telecom Henan (CN)	33.7385	113.3012	China Telecom Henan	123.53.233.132	41	Henan	success	Asia/Shanghai	
100.2.41.38	234	AS701 MCI Communications Services, Inc. d/b/a Verizon Business	Corona	United States	US	Verizon Fios Business (US)	40.7497	-73.8534	Verizon Fios Business	100.2.41.38	NY	New York	success	America/New_York	11368
82.178.51.106	233	AS28885 General Telecommunication Organization	Ruwi	Oman	OM	Omantel (OM)	23.5906	58.55	Omantel	82.178.51.106	MA	Muscat	success	Asia/Muscat	
122.116.118.142	228	AS3462 Data Communication Business Group	Taipei	Taiwan	TW	HiNet (TW)	25.0418	121.4966	HiNet	122.116.118.142			success	Asia/Taipei	
108.0.187.17	226	AS5650 Frontier Communications of America, Inc.	Santa Monica	United States	US	Verizon Internet Services (US)	34.016	-118.4925	Frontier Communications	108.0.187.17	CA	California	success	America/Los_Angeles	90401
115.64.45.199	222	AS7545 TPG Telecom Limited	Kensington	Australia	AU	TPG Internet (AU)	-33.9202	151.2224	TPG Internet	115.64.45.199	NSW	New South Wales	success	Australia/Sydney	2033
175.153.69.76	222	AS4837 CNCGROUP China169 Backbone	Chengdu	China	CN	China Unicom SiChuan (CN)	30.6667	104.0667	China Unicom SiChuan	175.153.69.76	51	Sichuan	success	Asia/Shanghai	
186.103.210.28	222	AS15311 Telefonica Empresas	Santiago	Chile	CL	Telefonica Empresas (CL)	-33.4625	-70.6682	Telefonica Empresas	186.103.210.28	RM	Santiago Metropolitan	success	America/Santiago	
2.115.212.84	218	AS3269 Telecom Italia	Basicò	Italy	IT	Telecom Italia Business (IT)	38.0608	15.0626	Telecom Italia Business	2.115.212.84	82	Sicily	success	Europe/Rome	98060
68.116.101.122	217	AS20115 Charter Communications	Medford	United States	US	Spectrum (US)	42.3393	-122.7987	Spectrum	68.116.101.122	OR	Oregon	success	America/Los_Angeles	97504
71.107.56.151	215	AS5650 Frontier Communications of America, Inc.	Los Angeles	United States	US	Verizon Internet Services (US)	34.0039	-118.4338	Frontier Communications	71.107.56.151	CA	California	success	America/Los_Angeles	90066
67.164.30.248	215	AS7922 Comcast Cable Communications, LLC	San Jose	United States	US	Comcast Cable (US)	37.3721	-121.8643	Comcast Cable	67.164.30.248	CA	California	success	America/Los_Angeles	95133
125.136.37.97	212	AS4766 Korea Telecom	Gwangju	Republic of Korea	KR	Korea Telecom (KR)	35.1547	126.9156	Korea Telecom	125.136.37.97	29	Gwangju	success	Asia/Seoul	
186.147.163.87	210	AS10620 Telmex Colombia S.A.	Santiago de Cali	Colombia	CO	Telmex Colombia S.A. (CO)	3.45165	-76.532	Telmex Colombia S.A.	186.147.163.87	VAC	Departamento del Valle del Cauca	success	America/Bogota	
181.53.186.168	209	AS10620 Telmex Colombia S.A.	Bogotá (Chapinero)	Colombia	CO	Telmex Colombia S.A. (CO)	4.64816	-74.0594	Telmex Colombia S.A.	181.53.186.168		Bogota D.C.	success	America/Bogota	
208.93.189.29	208	AS23497 NORTH COAST WIRELESS COMMUNICATIONS	Wellington	United States	US	North Coast Wireless Communications (US)	41.1609	-82.2085	North Coast Wireless Communications	208.93.189.29	OH	Ohio	success	America/New_York	44090
188.27.240.61	208	AS8708 RCS & RDS	Oradea	Romania	RO	RCS & RDS (RO)	47.0667	21.9333	RCS & RDS Business	188.27.240.61	BH	Bihor	success	Europe/Bucharest	417167
122.53.50.173	208	AS9299 Philippine Long Distance Telephone Company	Mandaluyong City	Philippines	PH	Philippine Long Distance Telephone (PH)	14.5752	121.042	Philippine Long Distance Telephone	122.53.50.173	00	National Capital Region	success	Asia/Manila	
186.247.167.104	207	AS7738 Telemar Norte Leste S.A.	Maceió	Brazil	BR	Oi Velox (BR)	-9.6524	-35.7224	Oi Velox	186.247.167.104	AL	Alagoas	success	America/Maceio	
89.39.99.30	207	AS8926 Moldtelecom SA	Chisinau	Republic of Moldova	MD	Moldtelecom SA (MD)	47.0056	28.8575	JSC Moldtelecom S.A.	89.39.99.30	CU	Chișinău Municipality	success	Europe/Chisinau	
87.121.76.98	206	AS60784 Iradeum Trading Ltd.	Sliven	Bulgaria	BG	Iradeum Treiding Ood (BG)	42.6858	26.3292	Iradeum Treiding Ood	87.121.76.98	20	Oblast Sliven	success	Europe/Sofia	8800
50.198.51.74	206	AS7922 Comcast Cable Communications, LLC	Crystal Lake	United States	US	Comcast Business (US)	42.2343	-88.3068	Comcast Business	50.198.51.74	IL	Illinois	success	America/Chicago	60014
110.142.26.171	206	AS1221 Telstra Pty Ltd	Strathfield	Australia	AU	Telstra Internet (AU)	-33.881	151.0799	Telstra Internet	110.142.26.171	NSW	New South Wales	success	Australia/Sydney	2135
59.47.43.70	206	AS4134 Chinanet	Fushun	China	CN	China Telecom Liaoning (CN)	41.7	123.8833	China Telecom Liaoning	59.47.43.70	21	Liaoning	success	Asia/Shanghai	
78.108.166.5	205	AS39010 TerraNet sal	Beirut	Lebanon	LB	TerraNet sal (LB)	33.8719	35.5097	TerraNet sal	78.108.166.5	BA	Beyrouth	success	Asia/Beirut	
190.109.195.194	205	AS23383 METRORED S.A. DE C.V.	Tegucigalpa	Honduras	HN	Navega.com Honduras (HN)	14.1	-87.2167	Navega.com Honduras	190.109.195.194	FM	Departamento de Francisco Morazan	success	America/Tegucigalpa	
47.21.229.118	205	AS6128 Cablevision Systems Corp.	The Bronx	United States	US	Optimum Online (US)	40.8499	-73.8769	Optimum Online	47.21.229.118	NY	New York	success	America/New_York	10460
209.232.6.177	205	AS7018 AT&T Services, Inc.	Los Angeles	United States	US	AT&T U-verse (US)	34.0669	-118.3109	AT&T U-verse	209.232.6.177	CA	California	success	America/Los_Angeles	90020
190.147.199.7	205	AS10620 Telmex Colombia S.A.	Bogotá (Chapinero)	Colombia	CO	Telmex Colombia S.A. (CO)	4.64816	-74.0594	Telmex Colombia S.A.	190.147.199.7		Bogota D.C.	success	America/Bogota	
76.27.178.245	205	AS7922 Comcast Cable Communications, LLC	Richmond	United States	US	Comcast Cable (US)	37.4677	-77.59	Comcast Cable	76.27.178.245	VA	Virginia	success	America/New_York	23236
75.130.43.34	205	AS20115 Charter Communications	Sweetwater	United States	US	Spectrum (US)	35.5847	-84.4384	Spectrum	75.130.43.34	TN	Tennessee	success	America/New_York	37874
108.244.54.169	205	AS7018 AT&T Services, Inc.	Fresno	United States	US	AT&T U-verse (US)	36.84	-119.8285	AT&T U-verse	108.244.54.169	CA	California	success	America/Los_Angeles	93711
177.80.225.198	204	AS28573 CLARO S.A.	São Caetano do Sul	Brazil	BR	NET Virtua (BR)	-23.6	-46.5667	NET Virtua	177.80.225.198	SP	Sao Paulo	success	America/Sao_Paulo	
207.204.117.30	204	AS30689 FLOW	May Pen	Jamaica	JM	FLOW (JM)	17.9667	-77.2333	FLOW	207.204.117.30	13	Clarendon	success	America/Jamaica	
60.212.122.193	203	AS4837 CNCGROUP China169 Backbone	Yantai	China	CN	China Unicom Shandong (CN)	37.5333	121.4	China Unicom Liaoning	60.212.122.193	37	Shandong	success	Asia/Shanghai	
187.180.204.101	203	AS28573 CLARO S.A.	Taubate	Brazil	BR	NET Virtua (BR)	-23.0249	-45.5515	NET Virtua	187.180.204.101	SP	Sao Paulo	success	America/Sao_Paulo	
8.34.153.163	203	AS30536 Circle Computer Resources, Inc.	Coralville	United States	US	Level 3 Communications (US)	41.6946	-91.5954	Circle Computer Resources	8.34.153.163	IA	Iowa	success	America/Chicago	52241
124.107.32.210	203	AS9299 Philippine Long Distance Telephone Company	Manila	Philippines	PH	Philippine Long Distance Telephone (PH)	14.5995	120.984	Philippine Long Distance Telephone	124.107.32.210	00	National Capital Region	success	Asia/Manila	
24.7.5.247	202	AS7922 Comcast Cable Communications, LLC	Hayward	United States	US	Comcast Cable (US)	37.6393	-122.0442	Comcast Cable	24.7.5.247	CA	California	success	America/Los_Angeles	94544
190.147.179.39	200	AS10620 Telmex Colombia S.A.	Bogotá (Chapinero)	Colombia	CO	Telmex Colombia S.A. (CO)	4.64816	-74.0594	Telmex Colombia S.A.	190.147.179.39		Bogota D.C.	success	America/Bogota	
186.223.248.83	199	AS28573 CLARO S.A.	Botucatu	Brazil	BR	NET Virtua (BR)	-22.8835	-48.4415	NET Virtua	186.223.248.83	SP	Sao Paulo	success	America/Sao_Paulo	
85.105.160.181	199	AS9121 Turk Telekom	Istanbul	Turkey	TR	Turk Telekom (TR)	41.0214	28.9684	Turk Telekom	85.105.160.181	34	Istanbul	success	Europe/Istanbul	
49.206.136.115	198	AS18209 Atria Convergence Technologies pvt ltd	Hyderabad	India	IN	Beam Telecom (IN)	17.3753	78.4744	Atria Convergence Technologies pvt	49.206.136.115	TG	Telangana	success	Asia/Kolkata	
100.3.154.62	198	AS5650 Frontier Communications of America, Inc.	Tampa	United States	US	Verizon Internet Services (US)	28.1203	-82.3529	Frontier Communications	100.3.154.62	FL	Florida	success	America/New_York	33647
73.55.214.253	197	AS7922 Comcast Cable Communications, LLC	Houston	United States	US	Comcast Cable (US)	29.9779	-95.57700000000001	Comcast Cable	73.55.214.253	TX	Texas	success	America/Chicago	77070
93.113.113.212	197	AS43925 Moldcell S.A.	Chisinau	Republic of Moldova	MD	IT & Network Solutions (MD)	47.0056	28.8575	Moldcell S.A.	93.113.113.212	CU	Chișinău Municipality	success	Europe/Chisinau	
41.164.65.98	197	AS36937 Neotel Pty Ltd	Cape Town	South Africa	ZA	Neotel Pty Ltd (ZA)	-33.9258	18.4232	NeotelWCape Assignment	41.164.65.98	WC	Western Cape	success	Africa/Johannesburg	8001
178.124.196.86	197	AS6697 Republican Unitary Telecommunication Enterprise Beltelecom	Minsk	Belarus	BY	Beltelecom (BY)	53.9	27.5667	Beltelecom	178.124.196.86	HM	Minsk City	success	Europe/Minsk	
78.25.22.173	197	AS6703 Private Joint-stock Company farlep-invest	Kiev	Ukraine	UA	Private Joint-stock Company farlep-invest (UA)	50.4333	30.5167	Private Joint-stock Company farlep-invest	78.25.22.173	30	Kyiv City	success	Europe/Kiev	
81.213.182.196	196	AS9121 Turk Telekom	Istanbul	Turkey	TR	Turk Telekom (TR)	41.0214	28.9684	Turk Telekom	81.213.182.196	34	Istanbul	success	Europe/Istanbul	
